Team Name      Filename of bmp   MLB  output bmp       view bmp      
RED SOX        FENWAY.BMP        BOS  FENWAYO.BMP      FENWAYV.BMP
ROCKIES        COORS.BMP         COL  COORSO.BMP       COORSV.BMP
A'S            OAKLAND.BMP       OAK  OAKLANDO.BMP     OAKLANDV.BMP
INDIANS        JACOBS.BMP        CLE  JACOBSO.BMP      JACOBSV.BMP
WHITE SOX      COMISKEY.BMP      CWS  COMISKO.BMP      COMISKV.BMP
TIGERS         TIGERS.BMP        DET  TIGERSO.BMP      TIGERSV.BMP
MARLINS        MARLINS.BMP       FLA  MARLINSO.BMP     MARLINSV.BMP
MARLINS        MARLINS.BMP       MIA  MARLINSO.BMP     MARLINSV.BMP
CUBS           CUBS.BMP          CHI  CUBSO.BMP        CUBSV.BMP
REDS           REDS.BMP          CIN  REDSO.BMP        REDSV.BMP
DIAMONDBACKS   DBACKS.BMP        ARI  DBACKSO.BMP      DBACKSV.BMP
BRAVES         BRAVES.BMP        ATL  BRAVESO.BMP      BRAVESV.BMP
ORIOLES        ORIOLES.BMP       BAL  ORIOLESO.BMP     ORIOLESV.BMP
TWINS          TWINS.BMP         MIN  TWINSO.BMP       TWINSV.BMP
EXPOS          EXPOS.BMP         MON  EXPOSO.BMP       EXPOSV.BMP
METS           METS.BMP          NY   METSO.BMP        METSV.BMP
YANKEES        YANKEES.BMP       NYY  YANKEESO.BMP     YANKEESV.BMP
PHILLIES       PHILLIES.BMP      PHI  PHILLIO.BMP      PHILLIESV.BMP
PIRATES        PIRATES.BMP       PIT  PIRATESO.BMP     PIRATESV.BMP
PADRES         PADRES.BMP        SD   PADRESO.BMP      PADRESV.BMP
GIANTS         GIANTS.BMP        SF   GIANTSO.BMP      GIANTSV.BMP
MARINERS       MARINERS.BMP      SEA  MARINERO.BMP     MARINERV.BMP
CARDINALS      CARDS.BMP         STL  CARDSO.BMP       CARDSV.BMP
CARDS          CARDS.BMP         STL  CARDSO.BMP       CARDSV.BMP
RAYS           DRAYS.BMP         TB   DRAYSO.BMP       DRAYSV.BMP
RANGERS        RANGERS.BMP       TEX  RANGERSO.BMP     RANGERSV.BMP
BLUE JAYS      BLUEJAYS.BMP      TOR  BLUEJAYO.BMP     BLUEJAYSV.BMP
ASTROS         ASTROS.BMP        HOU  ASTROSO.BMP      ASTROSV.BMP
ROYALS         ROYALS.BMP        KC   ROYALSO.BMP      ROYALSV.BMP
DODGERS        DODGERS.BMP       LA   DODGERSO.BMP     DODGERSV.BMP
BREWERS        BREWERS.BMP       MIL  BREWERSO.BMP     BREWERSV.BMP 
ANGELS         ANAHEIM.BMP       LAA  ANAHEIMO.BMP     ANAHEIMV.BMP
NATIONALS      NATIONALS.BMP     WSH  NATIONALSO.BMP   NATIONALSV.BMP

*		END OF LIST		*

NOTE CWS/A'S USE CARDS INSTEAD OF CARDINALS
